serial_no,video_link,category,begin_time_stamp_in_min,end_time_stamp_in_min,,category
CholeCystectomy_000,https://www.youtube.com/watch?v=rPuYHj1IDKc&t=60s,CholeCystectomy,"1,00","4,50",,CholeCystectomy
CholeCystectomy_001,https://www.youtube.com/watch?v=8tepFfxTaZw,CholeCystectomy,"5,00","18,00",,CholeCystectomy
CholeCystectomy_002,https://www.youtube.com/watch?v=lb778SOPG9k,CholeCystectomy,"9,00","30,20",,CholeCystectomy
CholeCystectomy_003,https://www.youtube.com/watch?v=G9EwcykWNJs,CholeCystectomy,"0,00","7,30",,CholeCystectomy
CholeCystectomy_004,https://www.youtube.com/watch?v=BrZujiP4Lhw,CholeCystectomy,"0,05","28,45",,CholeCystectomy
CholeCystectomy_005,https://www.youtube.com/watch?v=HAaVQYBNcMA,CholeCystectomy,"6,30","29,00",,CholeCystectomy
CholeCystectomy_006,https://www.youtube.com/watch?v=G9EwcykWNJs&t=2s,CholeCystectomy,"0,00","7,45",,CholeCystectomy
CholeCystectomy_007,https://www.youtube.com/watch?v=brlAoTNmS1E,CholeCystectomy,"0,15","6,40",,CholeCystectomy
CholeCystectomy_008,https://www.youtube.com/watch?v=wmgBjBvrlSc,CholeCystectomy,"1,55","3,20",,CholeCystectomy
CholeCystectomy_009,https://www.youtube.com/watch?v=QlFrKqnZbJw,CholeCystectomy,"0,30","6,50",,CholeCystectomy
CholeCystectomy_010,https://www.youtube.com/watch?v=o84EeiLGbFE,CholeCystectomy,"0,5","2,55",,CholeCystectomy
CholeCystectomy_011,https://www.youtube.com/watch?v=vOV4nZdgGdQ,CholeCystectomy,"0,35","9,15",,CholeCystectomy
CholeCystectomy_012,https://www.youtube.com/watch?v=kUXnRVD-YGw,CholeCystectomy,"0,25","6,00",,CholeCystectomy
CholeCystectomy_013,https://www.youtube.com/watch?v=zHKFtgceDiQ,CholeCystectomy,"0,20","7,00",,CholeCystectomy
CholeCystectomy_014,https://www.youtube.com/watch?v=9eazGJc9WC0,CholeCystectomy,"8,25","12,50",,CholeCystectomy
CholeCystectomy_015,https://www.youtube.com/watch?v=DUrV3WG0oW0,CholeCystectomy,"1,20","5,10",,CholeCystectomy
